pH,turbidity_NTU,temperature_C,DO_mg_L,conductivity_uS_cm,TDS_mg_L
7.866,12.794,25.26,5.357,2255.69,1578.983
7.33,24.507,25.3,3.618,1808.36,1265.8519999999999
7.988,6.495,23.11,3.832,2175.09,1522.563
7.613,3.0,34.97,5.43,1442.78,1009.9459999999999
7.822,8.171,29.11,4.811,2827.14,1978.9979999999998
7.959,27.085,29.86,3.577,500.0,350.0
7.413,8.767,35.46,4.966,1946.21,1362.347
7.328,5.557,23.53,6.731,881.47,617.029
3.744,24.856,22.59,0.815,7252.82,5076.973999999999
7.915,8.519,32.72,5.183,2038.03,1426.6209999999999
7.594,4.815,30.29,2.731,1310.64,917.448
6.937,0.5,22.79,6.39,831.06,581.742
8.502,7.383,31.37,4.73,1229.88,860.916
6.077,37.072,20.08,4.314,1342.86,940.0019999999998
8.172,6.0,27.18,2.838,1029.8,720.8599999999999
3.279,71.711,31.97,1.29,4469.52,3128.664
6.16,6.0,22.97,5.221,1323.82,926.6739999999999
6.963,18.638,29.95,3.822,2141.71,1499.197
2.928,72.829,23.29,2.161,4877.82,3414.4739999999997
13.721,57.798,32.59,0.278,6062.4,4243.679999999999
7.333,3.333,26.33,7.539,937.06,655.9419999999999
7.492,0.97,21.73,7.944,1214.61,850.2269999999999
7.461,9.542,36.83,4.592,2321.37,1624.9589999999998
7.544,6.131,22.52,8.524,598.78,419.14599999999996
12.399,20.0,35.75,1.798,6441.64,4509.148
8.256,11.627,33.32,1.745,1579.1,1105.37
7.089,17.232,27.68,4.079,2932.12,2052.484
7.484,18.944,23.07,4.227,694.88,486.41599999999994
3.017,69.411,34.28,3.0,4682.17,3277.519
6.339,32.001,25.4,2.919,500.0,350.0
8.533,7.589,27.5,4.506,1958.05,1370.635
6.05,24.76,31.96,3.8,1380.37,966.2589999999999
7.518,15.339,38.33,5.223,1541.9,1079.33
9.0,6.397,36.85,2.26,1357.69,950.3829999999999
3.54,26.308,31.01,1.277,6667.93,4667.5509999999995
7.454,9.501,30.86,2.202,2334.5,1634.1499999999999
10.0,55.848,34.39,0.964,3921.02,2744.714
7.522,3.0,32.29,3.635,1959.32,1371.524
7.386,4.779,25.54,6.366,888.21,621.747
7.411,3.06,21.87,6.655,597.43,418.20099999999996
7.597,9.124,30.89,5.406,2916.0,2041.1999999999998
2.78,55.658,22.01,0.823,3000.0,2100.0
11.588,37.133,29.47,1.688,7833.92,5483.744
7.061,21.225,24.91,3.773,2241.75,1569.225
7.853,10.611,36.6,3.273,1481.3,1036.9099999999999
7.34,5.107,23.18,6.192,767.09,536.963
6.971,5.88,21.78,6.766,988.69,692.083
8.518,15.198,34.87,4.165,1093.43,765.401
7.61,6.343,36.05,3.228,1471.92,1030.344
3.521,20.0,27.29,1.321,5487.88,3841.5159999999996
7.063,0.5,22.59,6.32,650.08,455.056
7.09,5.099,28.09,5.0,1037.31,726.117
4.348,53.962,35.62,0.0,4390.96,3073.672
7.674,19.291,30.69,4.268,1247.2,873.04
2.843,47.145,28.14,2.125,5739.79,4017.8529999999996
7.881,3.192,21.69,5.842,430.56,301.392
6.914,3.792,28.65,5.502,865.13,605.591
7.764,13.377,28.15,3.721,2833.78,1983.646
10.604,20.0,37.1,1.728,7875.93,5513.151
8.083,12.526,29.05,3.591,2020.95,1414.665
7.8,28.584,26.09,4.999,1323.68,926.576
7.211,1.211,24.5,6.694,1000.52,700.3639999999999
10.616,25.441,31.82,2.382,5052.94,3537.0579999999995
6.601,13.454,24.26,3.61,1322.9,926.03
7.358,24.131,29.16,3.934,2190.76,1533.5320000000002
7.891,16.385,23.51,2.406,1924.41,1347.087
3.488,32.78,29.95,2.949,3834.96,2684.4719999999998
7.658,8.906,35.17,4.736,1666.89,1166.823
12.803,20.0,24.5,2.011,5378.05,3764.6349999999998
7.653,3.301,30.13,5.871,1500.0,1050.0
8.244,9.161,34.38,4.495,1591.83,1114.281
7.639,12.189,35.0,3.771,1653.1,1157.1699999999998
7.298,21.803,31.17,4.462,1776.22,1243.354
2.83,26.338,21.28,1.632,4725.65,3307.9549999999995
10.983,36.347,30.6,0.839,7577.66,5304.361999999999
2.818,73.479,25.64,1.337,5272.19,3690.5329999999994
6.276,18.102,21.96,3.372,790.39,553.2729999999999
7.757,3.052,23.67,7.208,1037.18,726.026
3.547,65.543,25.2,1.132,3000.0,2100.0
7.565,0.5,19.7,6.125,705.07,493.549
9.135,27.51,24.73,2.854,1986.04,1390.2279999999998
6.949,14.927,30.8,5.172,1097.23,768.0609999999999
10.219,48.742,26.37,2.8,6944.38,4861.066
7.425,4.804,36.94,5.272,1000.0,700.0
7.0,6.386,34.03,2.139,1620.27,1134.1889999999999
7.39,0.5,25.9,7.084,648.42,453.89399999999995
3.626,20.0,23.79,0.287,4066.08,2846.256
7.135,3.36,20.25,7.065,642.97,450.079
2.726,29.731,28.35,1.292,5620.06,3934.042
6.841,7.098,24.33,4.99,1391.26,973.882
7.428,24.99,26.35,2.673,2301.27,1610.889
7.722,2.16,32.0,6.361,1207.11,844.9769999999999
6.812,32.56,28.73,1.971,1354.86,948.4019999999998
7.616,1.549,24.48,7.57,1111.35,777.9449999999999
6.805,4.291,24.56,7.782,587.39,411.17299999999994
6.5,3.25,26.33,5.584,1445.42,1011.794
3.551,41.138,22.86,0.516,4806.05,3364.235
7.75,33.815,24.36,3.215,1646.99,1152.893
7.485,3.737,28.27,6.324,814.54,570.1779999999999
7.673,8.716,30.22,2.96,1780.33,1246.2309999999998
3.376,20.0,23.31,1.235,5007.81,3505.467
7.508,0.683,24.12,7.231,740.64,518.448
7.897,3.0,35.81,3.21,1000.0,700.0
8.088,11.883,30.25,3.16,1441.99,1009.3929999999999
6.443,6.0,22.7,4.239,530.13,371.09099999999995
10.814,28.931,20.34,1.681,4719.25,3303.475
7.627,16.388,29.04,2.161,1861.1,1302.7699999999998
7.239,3.438,26.54,6.747,669.0,468.29999999999995
8.032,9.88,27.23,2.431,1454.2,1017.9399999999999
8.094,10.618,34.0,2.849,2148.78,1504.146
7.0,10.825,35.33,4.314,1881.85,1317.2949999999998
7.689,5.953,22.23,7.15,880.74,616.5179999999999
11.767,46.274,27.11,1.92,6265.93,4386.151
8.131,18.795,28.31,4.681,1375.07,962.5489999999999
13.077,50.843,29.26,0.802,4295.4,3006.7799999999997
7.0,8.518,39.7,4.403,2082.16,1457.5119999999997
7.842,2.278,21.06,6.808,777.57,544.299
11.204,56.677,24.72,0.244,7133.63,4993.541
14.0,42.485,38.62,1.278,5276.33,3693.4309999999996
2.788,20.0,24.77,1.555,6444.84,4511.388
3.668,48.399,38.77,0.87,6854.73,4798.311
7.008,1.859,27.17,8.143,1269.26,888.482
12.27,44.301,25.03,2.623,3905.84,2734.0879999999997
11.794,57.471,27.5,0.82,3529.42,2470.594
7.774,3.0,36.35,2.411,2160.08,1512.0559999999998
7.957,12.763,33.78,3.322,1787.78,1251.446
2.739,68.54,40.0,1.955,3000.0,2100.0
7.809,6.175,35.19,4.561,3500.0,2450.0
7.959,9.918,40.02,3.537,1224.12,856.8839999999999
8.249,3.0,35.02,4.48,1537.61,1076.3269999999998
8.161,4.145,30.62,7.422,890.68,623.4759999999999
7.315,12.563,37.43,3.554,2344.45,1641.1149999999998
8.61,22.938,24.75,4.11,657.58,460.306
10.531,48.511,11.66,0.0,6463.76,4524.632
7.423,3.266,25.9,6.18,364.24,254.968
7.122,3.828,27.91,5.119,861.14,602.798
6.23,6.0,22.24,2.334,1510.27,1057.1889999999999
7.206,3.342,24.33,6.481,752.43,526.7009999999999
8.144,10.059,41.09,2.0,1000.0,700.0
11.466,35.993,33.04,1.46,6811.26,4767.882
7.948,6.924,33.46,3.657,2779.43,1945.6009999999997
6.938,6.284,22.92,8.173,910.33,637.231
7.713,25.07,24.14,3.541,1434.19,1003.933
12.318,33.946,33.93,3.0,5214.03,3649.8209999999995
8.234,7.317,35.92,2.75,3035.21,2124.647
8.096,18.377,37.87,3.046,2190.53,1533.371
8.929,26.587,32.83,2.589,692.5,484.74999999999994
7.586,2.626,25.85,7.351,994.85,696.395
7.058,32.711,23.96,3.965,2214.98,1550.4859999999999
7.648,3.0,32.95,2.0,3439.39,2407.573
11.743,40.186,32.58,2.017,4939.94,3457.9579999999996
12.334,44.099,30.67,1.615,4320.11,3024.0769999999998
13.829,20.0,18.97,1.237,4059.42,2841.594
7.28,5.379,27.23,6.27,1297.74,908.4179999999999
7.915,10.667,38.05,3.082,1000.0,700.0
7.991,4.684,41.05,3.999,1894.76,1326.3319999999999
3.568,45.391,24.58,1.815,6017.82,4212.473999999999
7.58,27.433,36.87,2.457,1922.83,1345.9809999999998
6.802,2.823,24.25,8.493,1071.72,750.204
7.629,11.112,40.15,2.888,1858.37,1300.859
7.439,1.546,26.61,8.301,1355.78,949.0459999999999
3.312,40.64,30.75,2.355,6213.48,4349.436
8.29,4.91,33.7,3.598,1711.86,1198.302
8.799,3.0,34.66,4.601,1129.12,790.3839999999999
8.611,10.508,35.54,2.267,1910.78,1337.5459999999998
6.945,19.437,34.05,4.346,1924.03,1346.821
6.73,2.538,24.05,7.061,805.94,564.158
6.823,4.221,24.03,7.005,951.55,666.0849999999999
6.941,3.685,28.45,7.984,622.66,435.86199999999997
8.059,11.647,31.62,4.514,2418.14,1692.6979999999999
7.733,17.827,27.59,2.704,1749.36,1224.552
11.64,56.117,31.3,1.732,4114.67,2880.269
7.651,18.638,32.62,2.363,1184.86,829.4019999999999
6.494,18.774,25.55,4.8,1689.23,1182.461
8.111,6.739,34.58,3.154,2521.72,1765.2039999999997
3.068,24.98,26.38,0.0,5513.68,3859.576
7.74,0.958,22.76,5.076,709.33,496.531
7.89,2.095,29.12,7.92,1150.0,805.0
7.448,2.875,28.23,6.457,1027.65,719.355
11.661,38.227,28.0,1.024,8661.88,6063.315999999999
7.811,6.052,35.17,2.3,2943.8,2060.66
7.811,6.762,27.74,6.143,875.82,613.074
7.535,3.499,23.4,6.998,511.16,357.812
7.766,8.392,42.54,6.0,2328.54,1629.9779999999998
7.551,4.85,36.69,4.903,1000.0,700.0
7.527,3.0,38.15,3.655,1478.95,1035.2649999999999
10.757,44.424,39.81,0.95,3165.88,2216.116
7.678,13.617,28.97,5.829,2872.99,2011.0929999999996
3.407,20.0,32.11,1.79,4702.0,3291.3999999999996
7.805,10.897,29.19,2.864,2865.23,2005.6609999999998
7.642,4.903,41.46,3.716,1427.07,998.9489999999998
11.021,45.462,17.37,1.092,5328.96,3730.272
8.465,10.086,34.82,4.141,1429.2,1000.4399999999999
4.318,26.515,34.15,0.708,5331.26,3731.882
7.503,7.113,31.05,3.182,1000.0,700.0
2.018,74.911,23.33,1.171,6347.45,4443.214999999999
7.665,28.416,24.01,4.328,1283.35,898.3449999999999
6.535,0.5,22.24,6.026,823.51,576.457
7.873,6.339,34.56,2.882,1438.64,1007.048
3.636,44.73,28.7,0.63,4887.46,3421.2219999999998
7.069,4.402,24.26,7.535,724.92,507.44399999999996
7.506,2.034,28.42,6.036,1277.14,893.998
7.9,8.342,35.49,3.424,2504.71,1753.297
7.625,3.488,27.65,6.071,803.63,562.5409999999999
11.871,28.821,23.35,1.379,4804.14,3362.898
3.343,66.006,29.19,1.17,4799.56,3359.692
2.766,45.286,30.44,0.744,6207.41,4345.187
7.424,6.0,28.44,4.77,2462.9,1724.03
9.5,9.912,32.2,4.348,1777.03,1243.9209999999998
6.5,4.27,23.07,6.079,717.94,502.558
7.772,4.919,37.0,4.309,1851.39,1295.973
13.132,65.909,37.4,1.354,6650.59,4655.413
7.603,19.527,28.92,4.678,2138.67,1497.069
2.72,45.621,23.63,1.769,4425.36,3097.7519999999995
7.173,8.678,30.4,4.191,1339.51,937.6569999999999
7.701,13.682,29.45,2.543,1573.14,1101.198
6.89,4.181,19.4,5.261,710.53,497.3709999999999
4.5,46.288,25.09,1.96,3232.73,2262.911
6.0,6.0,30.29,4.175,1709.17,1196.4189999999999
10.0,65.541,31.09,0.931,6946.88,4862.816
7.001,6.368,24.93,8.239,1454.58,1018.2059999999999
7.405,6.778,45.0,3.612,2844.97,1991.4789999999998
7.429,2.905,25.97,7.393,1253.92,877.744
7.749,3.0,33.83,3.315,3163.1,2214.1699999999996
7.112,2.146,22.88,5.908,494.68,346.276
6.356,24.899,20.4,4.798,1258.86,881.2019999999999
7.573,4.745,25.2,6.962,1044.62,731.2339999999999
7.292,2.868,24.32,6.507,871.36,609.952
7.574,3.988,29.56,6.116,964.41,675.087
7.462,3.392,17.23,5.528,844.64,591.2479999999999
7.648,9.89,29.46,5.759,619.51,433.657
6.936,3.374,30.14,6.473,1136.72,795.704
7.955,3.0,34.15,3.449,1583.07,1108.149
2.487,79.93,20.1,0.547,4928.02,3449.614
6.0,25.136,29.36,2.823,1472.33,1030.6309999999999
2.0,42.348,31.33,1.99,4710.79,3297.553
14.0,47.559,28.88,1.38,4964.91,3475.437
7.813,16.224,25.22,3.904,1940.16,1358.112
7.421,0.5,24.52,7.3,1100.5,770.3499999999999
3.392,57.185,31.62,1.731,3000.0,2100.0
8.291,6.694,30.46,3.275,2536.17,1775.319
3.231,44.375,23.71,1.333,6641.84,4649.288
7.56,6.0,23.96,4.19,500.0,350.0
8.317,10.441,27.37,3.475,1600.22,1120.154
3.138,20.0,26.81,1.83,5725.76,4008.0319999999997
7.495,6.272,30.88,3.511,2144.14,1500.898
8.628,23.716,33.72,3.693,1360.85,952.5949999999999
6.0,20.113,31.19,3.995,2007.57,1405.299
14.0,45.632,36.43,0.933,3000.0,2100.0
7.219,3.88,24.19,5.0,735.14,514.598
7.109,1.653,19.35,5.737,1127.91,789.537
7.02,3.478,18.48,6.55,741.31,518.9169999999999
8.906,8.322,24.11,2.268,1824.35,1277.0449999999998
8.525,4.65,32.68,2.332,1771.66,1240.162
12.159,20.0,27.36,1.085,5942.15,4159.504999999999
7.3,42.259,27.68,2.976,2167.09,1516.963
7.767,2.803,22.88,6.438,813.44,569.408
7.432,1.91,24.09,7.021,839.11,587.377
7.441,9.684,30.32,4.711,1678.93,1175.251
12.257,21.221,22.87,0.242,3925.41,2747.787
7.927,18.08,30.45,3.728,2326.01,1628.207
10.361,41.529,26.14,1.053,6370.41,4459.286999999999
7.811,10.155,37.16,3.883,2614.2,1829.9399999999998
7.724,6.0,28.06,2.17,1399.74,979.818
3.914,71.596,36.34,2.498,5471.4,3829.9799999999996
8.453,30.351,21.42,5.019,998.61,699.0269999999999
7.877,4.19,27.01,6.891,967.26,677.082
11.531,35.971,35.9,1.334,6930.42,4851.294
6.956,18.039,21.07,4.783,500.0,350.0
7.909,5.101,22.22,7.736,614.42,430.09399999999994
7.14,3.417,32.0,6.606,807.66,565.362
7.621,22.764,24.31,3.075,1810.53,1267.3709999999999
3.783,52.332,33.53,0.608,4170.14,2919.098
7.304,5.413,22.12,6.397,435.42,304.794
7.572,6.755,36.33,3.226,1183.28,828.2959999999999
7.915,3.652,26.59,6.877,465.42,325.794
7.682,9.557,34.98,3.924,1921.9,1345.33
13.93,55.038,25.66,0.292,3000.0,2100.0
6.822,4.422,26.67,7.586,976.62,683.634
7.772,3.848,21.81,6.418,1052.48,736.736
7.95,4.081,34.64,4.477,2649.86,1854.902
7.097,2.92,27.71,8.6,549.67,384.76899999999995
3.04,62.732,40.0,2.842,6985.01,4889.507
4.073,69.045,21.36,0.933,5736.51,4015.557
7.67,0.707,16.89,7.948,327.66,229.362
13.177,59.543,22.87,1.403,3000.0,2100.0
7.73,6.22,32.47,3.434,1328.95,930.265
7.077,11.263,37.93,6.0,2005.15,1403.605
6.789,13.153,27.28,3.745,870.68,609.4759999999999
8.483,17.732,34.07,3.97,1023.77,716.6389999999999
7.765,3.293,24.32,5.672,846.97,592.879
7.522,29.699,26.46,3.966,1287.66,901.362
6.925,0.5,19.72,6.501,1213.53,849.4709999999999
7.25,10.679,30.64,3.69,1567.78,1097.446
7.028,2.505,28.56,7.739,1053.24,737.2679999999999
7.858,14.566,24.73,3.513,1992.27,1394.589
7.127,4.837,26.53,6.476,961.32,672.924
7.373,3.119,28.84,5.049,699.67,489.76899999999995
7.319,0.5,20.63,7.319,1034.06,723.8419999999999
8.163,3.0,41.34,3.861,2571.03,1799.721
8.374,13.283,40.29,3.147,1917.06,1341.9419999999998
11.83,64.853,39.37,1.68,4346.21,3042.3469999999998
7.323,2.274,28.72,6.697,1086.62,760.6339999999999
8.13,1.035,25.44,6.369,800.14,560.098
7.609,3.0,31.69,4.89,2337.59,1636.313
8.14,11.173,37.05,3.034,1806.51,1264.557
7.329,5.495,24.61,7.387,354.61,248.227
7.601,2.654,26.65,6.417,1065.52,745.8639999999999
7.519,0.5,29.48,7.873,1174.62,822.2339999999999
7.465,7.421,28.0,7.193,681.12,476.784
7.927,23.448,24.03,3.179,949.36,664.552
7.575,17.795,34.83,4.701,500.0,350.0
7.69,0.556,26.42,9.0,1177.28,824.0959999999999
8.208,0.5,25.86,7.0,564.84,395.388
8.249,10.605,43.41,5.808,2306.71,1614.697
7.506,0.992,26.14,5.056,907.17,635.0189999999999
6.419,6.0,29.59,4.543,2234.3,1564.01
8.232,8.165,33.47,4.822,1404.52,983.1639999999999
7.529,4.679,32.81,4.358,1499.78,1049.846
8.071,5.061,33.89,3.03,1398.9,979.23
6.351,13.172,29.75,3.667,1034.44,724.108
7.483,8.228,39.27,3.922,2407.24,1685.0679999999998
7.554,3.0,33.4,3.214,1641.61,1149.127
7.763,3.918,26.37,5.991,1079.17,755.419
3.973,49.978,28.38,2.372,3878.86,2715.2019999999998
6.649,0.5,23.16,6.677,957.13,669.991
12.755,26.853,26.17,1.696,4214.44,2950.1079999999997
7.807,1.938,27.09,6.52,958.51,670.957
7.063,3.844,24.59,5.543,1045.81,732.0669999999999
7.75,22.205,35.04,3.834,1815.73,1271.011
9.194,22.634,25.12,3.809,1952.01,1366.407
8.215,26.946,33.17,3.486,1474.29,1032.003
7.572,25.5,31.68,1.737,1374.16,961.912
7.76,14.97,37.41,4.973,1000.0,700.0
12.515,20.0,25.15,2.247,4759.02,3331.3140000000003
7.886,2.455,28.27,6.13,952.56,666.7919999999999
3.193,20.747,28.69,0.881,4825.27,3377.6890000000003
7.278,2.275,24.22,7.166,782.26,547.582
7.052,3.0,42.35,4.593,1666.19,1166.3329999999999
7.06,4.79,22.46,7.387,263.79,184.653
7.429,9.689,20.24,2.822,2114.34,1480.038
4.123,20.0,29.43,2.21,4726.94,3308.8579999999997
7.703,0.5,25.96,5.582,611.18,427.82599999999996
7.546,4.679,36.27,2.575,1642.13,1149.491
7.662,3.066,33.78,5.702,2411.61,1688.127
7.093,0.5,29.47,7.556,1267.07,886.949
8.552,29.952,30.37,3.062,891.41,623.987
7.632,5.463,35.56,3.732,1886.58,1320.6059999999998
3.877,36.419,17.36,2.074,6961.95,4873.365
7.075,15.997,39.12,2.84,1943.92,1360.744
8.425,15.715,30.52,3.389,1000.55,700.3849999999999
11.64,67.99,23.87,2.816,4427.34,3099.138
7.877,4.297,28.66,7.99,838.24,586.7679999999999
3.181,60.18,34.94,1.9,5449.51,3814.6569999999997
2.86,69.329,24.32,1.994,5712.11,3998.4769999999994
8.312,26.569,27.43,3.818,1356.25,949.3749999999999
7.23,24.422,31.22,2.575,500.0,350.0
12.921,75.851,19.36,0.238,3303.52,2312.464
7.519,20.464,30.69,2.306,934.87,654.409
7.068,5.3,28.44,5.7,2557.93,1790.5509999999997
6.597,1.899,23.7,8.496,1195.64,836.948
7.38,12.977,22.63,4.015,1568.62,1098.0339999999999
7.928,24.468,25.75,2.266,2618.28,1832.796
6.58,23.663,28.82,1.646,1541.7,1079.19
7.079,7.153,24.6,6.143,1240.69,868.483
7.337,0.5,21.37,5.846,984.19,688.933
7.524,23.182,31.62,3.228,1570.52,1099.3639999999998
6.247,25.235,32.41,4.01,685.22,479.654
7.295,2.952,27.12,5.373,1066.65,746.655
7.996,20.111,23.07,1.717,1304.71,913.2969999999999
3.898,41.576,26.77,1.701,6222.99,4356.093
7.943,11.354,26.81,4.441,536.47,375.529
6.964,3.787,26.45,6.864,228.53,159.971
7.326,1.889,24.64,5.598,1203.44,842.408
7.939,24.338,30.79,4.31,2542.26,1779.582
7.988,11.635,34.44,3.5,2324.52,1627.164
8.342,8.753,42.07,3.623,1528.03,1069.6209999999999
11.209,44.249,15.63,2.536,3255.93,2279.151
7.46,8.451,33.97,2.685,1119.58,783.7059999999999
6.271,17.293,31.75,4.816,1763.55,1234.485
6.415,18.161,30.79,3.468,2828.51,1979.957
7.347,1.89,26.1,6.31,367.13,256.991
8.5,2.931,27.02,5.949,1369.02,958.314
6.137,6.0,31.71,3.133,983.82,688.674
10.0,64.814,29.95,1.497,5718.27,4002.789
8.309,22.082,26.33,3.379,1551.93,1086.3509999999999
7.213,13.571,37.98,3.759,2372.36,1660.652
8.01,23.25,27.15,3.184,1472.82,1030.974
7.717,3.0,35.99,4.705,2883.58,2018.5059999999999
7.923,11.425,24.48,5.536,803.26,562.2819999999999
7.916,9.679,40.39,2.351,2162.69,1513.883
7.643,3.534,28.52,5.0,826.78,578.746
7.786,6.314,30.37,2.223,1066.83,746.781
7.463,10.249,31.73,3.662,1000.0,700.0
6.102,36.489,28.45,3.512,660.75,462.525
7.381,1.752,24.09,5.0,986.62,690.634
8.13,19.711,27.36,3.656,2080.85,1456.5949999999998
12.375,42.92,19.81,1.096,4769.75,3338.825
7.06,3.057,29.63,6.521,827.55,579.285
3.514,53.899,28.38,2.168,5962.82,4173.973999999999
6.553,3.578,23.17,7.17,748.28,523.7959999999999
7.701,6.071,34.22,2.0,1874.87,1312.4089999999999
7.971,2.961,25.23,6.794,1410.75,987.525
6.85,0.548,24.65,7.283,1007.54,705.2779999999999
2.59,34.68,26.72,1.283,6383.72,4468.604
11.846,64.585,17.0,1.244,6135.96,4295.172
8.709,13.197,29.84,2.959,2374.06,1661.8419999999999
7.399,0.512,26.08,6.576,993.0,695.0999999999999
13.698,47.068,22.98,1.229,4970.7,3479.49
8.46,18.498,28.54,4.343,1926.06,1348.242
7.163,9.214,26.67,1.752,1426.13,998.291
12.788,34.34,28.39,1.21,6175.2,4322.639999999999
7.471,3.0,37.45,3.283,3383.96,2368.772
7.767,3.0,31.1,3.054,1901.29,1330.9029999999998
8.154,3.0,31.64,3.509,2563.43,1794.4009999999998
6.924,3.154,22.97,6.958,200.0,140.0
7.456,16.937,31.33,5.026,1704.61,1193.2269999999999
2.749,20.0,36.6,1.736,4676.25,3273.375
7.575,7.911,24.6,5.428,582.33,407.63100000000003
12.752,38.284,24.22,1.906,3000.0,2100.0
8.243,21.435,28.96,3.37,500.0,350.0
13.704,50.179,32.62,0.0,10000.0,7000.0
3.809,75.286,21.56,1.02,5421.39,3794.973
7.207,3.0,40.23,2.82,1000.0,700.0
7.012,5.492,24.7,5.0,1029.89,720.923
6.583,9.533,32.77,3.449,2316.11,1621.277
7.57,24.711,27.1,3.826,1337.8,936.4599999999999
7.443,3.388,23.19,6.966,890.57,623.399
8.48,8.076,34.55,2.404,1339.07,937.3489999999999
7.632,4.79,24.9,5.262,314.67,220.269
7.532,6.0,27.91,3.507,940.16,658.112
7.017,2.021,27.87,7.173,672.52,470.76399999999995
7.437,27.606,25.79,2.357,1060.49,742.343
8.464,17.586,21.48,6.0,1372.36,960.6519999999998
7.117,10.528,31.53,4.045,1983.37,1388.359
8.224,33.173,33.64,4.766,1146.63,802.6410000000001
6.51,20.075,29.58,3.085,1494.88,1046.416
7.951,0.5,23.61,8.295,718.81,503.1669999999999
7.794,5.656,32.88,3.436,2534.31,1774.0169999999998
7.631,8.357,29.44,4.572,1302.04,911.4279999999999
8.033,2.359,26.36,5.996,964.62,675.2339999999999
7.847,1.749,24.03,7.552,975.67,682.9689999999999
7.039,2.35,25.25,5.352,917.7,642.39
7.059,3.118,25.4,6.948,1042.09,729.4629999999999
10.002,76.816,15.38,0.318,7331.42,5131.994
8.363,26.043,30.13,2.353,1565.19,1095.633
7.505,10.571,36.24,5.515,2072.95,1451.0649999999998
7.0,8.887,35.28,3.544,2379.03,1665.3210000000001
12.552,20.0,26.13,1.312,5882.65,4117.855
8.868,18.49,25.79,4.166,1486.34,1040.4379999999999
4.5,72.563,25.22,0.812,6633.91,4643.736999999999
6.694,20.916,24.95,1.5,681.46,477.022
10.795,40.469,37.05,1.535,4877.19,3414.0329999999994
8.0,25.626,26.21,4.324,769.76,538.832
3.03,25.178,26.08,1.57,5985.98,4190.186
12.471,58.425,33.46,0.0,5914.93,4140.451
6.903,19.339,34.55,3.915,1419.16,993.412
7.112,0.5,17.91,6.253,965.03,675.521
7.105,5.784,25.8,5.48,733.34,513.338
3.888,100.0,30.69,1.894,6743.97,4720.7789999999995
7.683,5.004,38.4,4.011,1559.25,1091.475
7.629,4.752,31.42,2.518,2155.63,1508.941
6.667,23.919,30.23,3.666,2275.97,1593.1789999999999
8.289,3.978,34.47,4.517,1555.25,1088.675
7.307,3.881,24.61,6.763,519.2,363.44
7.643,0.5,23.06,5.9,568.54,397.97799999999995
7.687,3.228,25.01,6.303,762.81,533.967
8.379,3.0,36.41,3.27,2417.73,1692.4109999999998
8.666,10.107,29.64,3.861,1864.28,1304.9959999999999
3.007,38.136,20.34,3.0,3000.0,2100.0
7.142,8.702,23.37,2.495,2025.04,1417.5279999999998
7.276,4.168,24.42,6.602,658.7,461.09
3.16,30.8,17.69,2.223,3221.28,2254.896
7.638,12.135,36.75,5.044,1827.61,1279.3269999999998
3.616,52.669,20.63,0.31,5081.92,3557.344
10.904,20.0,33.55,0.808,7135.85,4995.095
7.903,16.393,28.6,3.822,1879.07,1315.349
3.282,26.997,20.49,2.479,5245.14,3671.598
8.318,10.126,32.96,4.539,2220.98,1554.686
6.897,1.797,22.84,5.208,905.52,633.8639999999999
6.973,1.616,25.88,6.519,885.33,619.731
7.48,13.535,26.93,3.377,712.68,498.8759999999999
6.562,6.0,29.3,3.344,642.08,449.456
7.013,1.695,25.06,6.319,717.64,502.34799999999996
8.443,5.374,32.6,3.489,2611.88,1828.316
11.877,64.839,28.59,0.644,5256.78,3679.7459999999996
6.968,0.5,24.7,8.59,955.15,668.6049999999999
12.053,52.849,23.48,1.186,3065.49,2145.843
3.006,49.644,30.4,1.437,5325.08,3727.5559999999996
8.22,23.93,28.29,4.569,1035.28,724.6959999999999
7.804,16.85,33.28,2.895,1933.85,1353.695
8.383,11.967,35.04,2.365,1717.91,1202.537
6.519,33.174,19.51,2.158,1302.88,912.016
8.499,11.617,35.22,3.819,500.0,350.0
7.474,12.546,34.93,4.918,1247.82,873.4739999999999
7.308,0.5,24.16,5.0,1144.25,800.9749999999999
7.599,25.87,23.19,4.775,855.73,599.011
7.502,6.002,28.33,7.196,1356.3,949.4099999999999
8.286,4.682,37.87,4.26,2497.17,1748.019
6.931,3.088,30.33,6.269,1156.67,809.669
7.631,4.877,19.1,7.325,311.21,217.84699999999998
7.505,10.58,35.12,2.733,2925.52,2047.8639999999998
9.5,14.009,23.6,2.546,4000.0,2800.0
2.84,50.478,27.24,1.58,4916.16,3441.312
6.516,2.934,26.52,7.138,1175.54,822.8779999999999
7.868,9.743,36.39,5.513,1078.89,755.2230000000001
6.739,1.777,20.16,6.337,1323.14,926.198
10.547,20.0,29.28,1.202,3716.71,2601.6969999999997
7.11,25.467,29.43,3.282,1364.46,955.122
7.379,1.574,18.54,5.0,916.48,641.536
7.886,9.973,29.49,4.172,1856.84,1299.7879999999998
7.119,25.562,28.03,3.483,2348.67,1644.069
13.643,20.0,20.82,1.756,5504.48,3853.1359999999995
6.731,6.0,29.84,3.999,1011.4,707.9799999999999
4.049,62.434,31.9,0.0,5730.26,4011.182
7.816,8.178,33.53,3.131,2016.96,1411.8719999999998
7.608,25.627,29.01,4.553,1183.93,828.751
7.758,3.098,25.06,7.182,825.44,577.808
